Year,Scale,Computation,log_forward_density,log_backward_density,log_ratio
-300,-3.958585615462179,-0.9422029260102606,,,
-200,-2.859139913046905,-0.9422029260102606,-1.9247420247866591,-3.2753639605760134,1.3506219357893543
-100,-1.974543995022832,-0.8431896534347956,-1.882656138973653,-2.723804709741051,0.8411485707673982
500,-0.5215225247763722,0.0274199075680421,-2.5999675845650057,-3.364141972631008,0.7641743880660021
600,-0.6202956726236104,0.1002653866771336,-1.8491337110762256,-1.8411289713440526,-0.008004739732172972
700,-0.6040480836740718,0.1738181034474793,-1.841729791136924,-1.843218913288216,0.0014891221512920438
900,-0.3359135350030967,-0.2713880043114856,-1.9508612648386832,-1.9344375489196306,-0.01642371591905256
1000,-1.2108170044284865,-0.6989131705391181,-2.3778187178561474,-2.0887949266229056,-0.28902379123324184
1100,-1.2108170044284865,-0.6989131705391181,-1.8758554245422054,-1.8770286752065033,0.0011732506642978535
1200,-0.5163918076925343,0.3431693761512286,-2.3332626239207226,-2.643594890033211,0.3103322661124883
1300,0.6387561789717888,0.2476922918820307,-2.419015096317162,-2.568052135677102,0.14903703935994006
1400,0.6475047465946944,0.539459974315446,-1.858776189153577,-1.8877618890933752,0.02898569993979816
1500,0.7673639986355634,0.562697783185198,-1.8387731927404358,-1.8566908673856934,0.01791767464525762
1600,0.9052149208462148,0.7049535870487229,-1.8503067521456336,-1.8621863365306695,0.01187958438503589
1700,1.33343069876112,0.8496801302742887,-1.9239246401729444,-1.9178695130539678,-0.0060551271189766
1800,1.4018083948558648,0.8496801302742887,-1.8542275843860194,-1.8512562730595477,-0.0029713113264717705
