Year,Scale,Computation,log_forward_density,log_backward_density,log_ratio
-200,-0.1724109807326123,0.3698113403223061,,,
100,0.8636496614852393,0.2659947452974952,-2.3208668223431674,-2.4322892448036013,0.11142242246043388
200,0.7687683166112383,0.2659947452974952,-1.8525843487396934,-1.8424556023892853,-0.010128746350408058
300,0.7687683166112383,0.2659947452974952,-1.8430577381877615,-1.8430937513804144,3.601319265289504e-05
700,-1.82214572775946,0.3881111148072358,-5.338452434683338,-4.354103658778732,-0.9843487759046061
900,0.4073944148220605,0.6490818118097103,-3.7180423496181088,-4.600086523488436,0.8820441738703271
1000,0.5882308662632438,0.381392357025329,-1.8738452580719684,-1.8902575588403563,0.016412300768387844
1100,0.5882308662632438,0.381392357025329,-1.8415163957874334,-1.8414769420417407,-3.9453745692696884e-05
1200,0.6143924969908597,0.381392357025329,-1.8401513116191692,-1.8435290802600912,0.0033777686409219854
1400,1.3078795084237256,0.5974534625382183,-2.0488079496253055,-2.0873720379332905,0.03856408830798497
1500,1.3078795084237256,0.5974534625382183,-1.8398376114115829,-1.8398375670186686,-4.4392914233526426e-08
