Year,Scale,Computation,log_forward_density,log_backward_density,log_ratio
-700,-2.626920072158399,-1.354522482520946,,,
-600,-2.2599832634480443,-1.2590453982517478,-1.8613515309073927,-2.256800178855567,0.39544864794817425
-500,-2.0448199543705523,-0.2399159283857131,-2.129255659391996,-2.523976372919055,0.3947207135270592
-400,-1.962294395472853,-0.2399159283857131,-1.892563048066755,-1.9494023588028035,0.05683931073604853
-300,-0.9530561007747,-0.2399159283857131,-2.0304493411052746,-2.4799525175909265,0.44950317648565186
-200,0.385328193060585,-0.0093564508171306,-2.5927009648552506,-2.8184839444753846,0.22578297962013405
-100,1.35446108584321,-0.0864453558937428,-2.3160210397517416,-2.385759676598407,0.06973863684666526
0,1.820818006287876,0.539459974315446,-2.009359182594551,-2.04749058787501,0.038131405280458885
100,1.9171956139051212,0.539459974315446,-1.8612691188770247,-1.843310900978648,-0.017958217898376816
200,1.8867654575173456,0.539459974315446,-1.8469277666591077,-1.8530018874934875,0.006074120834379748
500,0.44206286398287,0.6151344040695518,-2.7406632603840295,-2.744548275537328,0.003885015153298532
600,-0.8650018608828726,0.3315321019069694,-2.8672670148451234,-2.602190176156392,-0.26507683868873144
700,-0.4378333571405404,0.3315321019069694,-1.8865730819493143,-1.961260043644753,0.07468696169543865
800,-0.5887281383700709,0.2712240177019141,-1.8628429005890785,-1.8448701539887953,-0.01797274660028325
900,-0.7994378602535333,0.2712240177019141,-1.8798266636673224,-1.8450575249294312,-0.034769138737891225
1000,-1.1204066243493185,0.3923545407747546,-1.9475784237271885,-1.8475001552495556,-0.1000782684776329
1100,-1.30405657980014,0.3923545407747546,-1.915076271055205,-1.8525629361171623,-0.06251333493804268
1200,-0.8668335692462916,0.4842954367376874,-1.893741647384707,-2.0093953166114007,0.11565366922669362
1300,-0.8668335692462916,0.4842954367376874,-1.855785549009501,-1.8557941383503165,8.589340815490232e-06
1400,-1.0036726424918263,0.5090487548815535,-1.888629605361543,-1.8458062300227978,-0.04282337533874525
1500,-0.6191849479092059,0.5090487548815535,-1.8704192157082469,-1.9676117029468765,0.09719248723862961
1600,-0.4019246571076409,0.7480950843851757,-1.8942268862483864,-1.918528076367359,0.02430119011897247
1700,-0.3248629625799204,0.6752496052760834,-1.8408329197719393,-1.8689193829193833,0.028086463147444007
1800,-0.2498271055029553,0.6752496052760834,-1.8414692948886522,-1.8601444728193606,0.018675177930708386
